type,exchange_segment,security_id,LTP,LTQ,LTT,avg_price,volume,total_sell_quantity,total_buy_quantity,open,close,high,low
Quote Data,0,25,46553.00,0,15:00:44,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46552.95,0,15:00:45,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46554.65,0,15:00:46,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46556.70,0,15:00:47,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46555.40,0,15:00:48,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46555.80,0,15:00:49,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46551.10,0,15:00:50,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46558.95,0,15:00:51,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46562.75,0,15:00:52,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46558.85,0,15:00:53,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46558.85,0,15:00:53,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46564.00,0,15:00:54,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46565.10,0,15:00:55,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46563.95,0,15:00:56,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46566.15,0,15:00:57,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46568.80,0,15:00:58,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46565.50,0,15:00:59,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46568.95,0,15:01:00,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46568.05,0,15:01:01,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46568.75,0,15:01:02,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46567.55,0,15:01:03,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46565.75,0,15:01:04,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46568.80,0,15:01:05,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46565.65,0,15:01:06,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46567.30,0,15:01:07,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46568.30,0,15:01:08,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46569.25,0,15:01:09,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46571.00,0,15:01:10,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46571.55,0,15:01:11,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46574.80,0,15:01:12,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46571.10,0,15:01:13,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46571.00,0,15:01:14,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46569.80,0,15:01:15,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46570.00,0,15:01:16,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46573.90,0,15:01:17,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46573.90,0,15:01:17,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46571.75,0,15:01:18,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46574.70,0,15:01:19,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46574.00,0,15:01:20,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46574.25,0,15:01:21,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46574.25,0,15:01:21,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46575.30,0,15:01:22,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46574.00,0,15:01:23,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46575.00,0,15:01:24,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46575.00,0,15:01:24,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46575.95,0,15:01:25,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46573.05,0,15:01:26,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46574.35,0,15:01:27,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46576.30,0,15:01:28,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46576.05,0,15:01:29,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
