open,high,low,close,volume,start_Time,date
70.9,70.9,70.8,70.81,19798.0,1392788580.0,2024-02-19 11:13:00
70.89,70.9,70.81,70.9,10912.0,1392788640.0,2024-02-19 11:14:00
70.89,70.9,70.88,70.9,3758.0,1392788700.0,2024-02-19 11:15:00
70.9,70.96,70.88,70.88,3502.0,1392788760.0,2024-02-19 11:16:00
70.87,70.88,70.76,70.76,3856.0,1392788820.0,2024-02-19 11:17:00
70.76,70.79,70.7,70.71,4451.0,1392788880.0,2024-02-19 11:18:00
70.66,70.66,70.31,70.42,11358.0,1392788940.0,2024-02-19 11:19:00
70.41,70.47,70.36,70.47,2718.0,1392789000.0,2024-02-19 11:20:00
70.47,70.47,70.36,70.4,2524.0,1392789060.0,2024-02-19 11:21:00
70.37,70.4,70.11,70.15,31474.0,1392789120.0,2024-02-19 11:22:00
70.11,70.15,70.02,70.14,16422.0,1392789180.0,2024-02-19 11:23:00
70.14,70.14,70.1,70.14,2754.0,1392789240.0,2024-02-19 11:24:00
70.14,70.16,70.11,70.15,1974.0,1392789300.0,2024-02-19 11:25:00
70.15,70.2,70.1,70.11,2525.0,1392789360.0,2024-02-19 11:26:00
70.11,70.2,70.11,70.2,2490.0,1392789420.0,2024-02-19 11:27:00
70.2,70.2,70.14,70.14,10324.0,1392789480.0,2024-02-19 11:28:00
70.15,70.15,69.81,69.81,29684.0,1392789540.0,2024-02-19 11:29:00
69.79,69.89,69.71,69.75,33132.0,1392789600.0,2024-02-19 11:30:00
69.89,70.0,69.8,69.95,3656.0,1392789660.0,2024-02-19 11:31:00
69.95,69.97,69.85,69.89,2649.0,1392789720.0,2024-02-19 11:32:00
69.95,70.15,69.95,70.14,63920.0,1392789780.0,2024-02-19 11:33:00
70.15,70.2,70.14,70.19,8575.0,1392789840.0,2024-02-19 11:34:00
70.26,70.34,70.19,70.26,2465.0,1392789900.0,2024-02-19 11:35:00
70.2,70.3,70.2,70.3,2673.0,1392789960.0,2024-02-19 11:36:00
70.5,70.65,70.5,70.65,20020.0,1392790020.0,2024-02-19 11:37:00
70.65,70.65,70.56,70.56,5224.0,1392790080.0,2024-02-19 11:38:00
70.57,70.63,70.28,70.3,12648.0,1392790140.0,2024-02-19 11:39:00
70.34,70.34,70.17,70.3,1822.0,1392790200.0,2024-02-19 11:40:00
70.31,70.44,70.31,70.44,2345.0,1392790260.0,2024-02-19 11:41:00
70.4,70.44,70.4,70.4,830.0,1392790320.0,2024-02-19 11:42:00
70.42,70.5,70.4,70.5,5188.0,1392790380.0,2024-02-19 11:43:00
70.47,70.5,70.47,70.47,7511.0,1392790440.0,2024-02-19 11:44:00
70.47,70.5,70.41,70.41,7755.0,1392790500.0,2024-02-19 11:45:00
70.49,70.49,70.4,70.4,4761.0,1392790560.0,2024-02-19 11:46:00
70.4,70.45,70.19,70.38,15064.0,1392790620.0,2024-02-19 11:47:00
70.38,70.4,70.06,70.2,8964.0,1392790680.0,2024-02-19 11:48:00
70.07,70.2,70.07,70.17,1681.0,1392790740.0,2024-02-19 11:49:00
70.17,70.2,70.16,70.2,1577.0,1392790800.0,2024-02-19 11:50:00
70.17,70.2,70.17,70.17,1531.0,1392790860.0,2024-02-19 11:51:00
70.17,70.39,70.17,70.29,3873.0,1392790920.0,2024-02-19 11:52:00
70.38,70.38,70.37,70.38,970.0,1392790980.0,2024-02-19 11:53:00
70.38,70.39,70.35,70.36,4982.0,1392791040.0,2024-02-19 11:54:00
70.36,70.36,70.3,70.36,28461.0,1392791100.0,2024-02-19 11:55:00
70.5,70.52,70.33,70.5,17954.0,1392791160.0,2024-02-19 11:56:00
70.41,70.8,70.41,70.8,13149.0,1392791220.0,2024-02-19 11:57:00
70.8,71.05,70.6,70.94,80940.0,1392791280.0,2024-02-19 11:58:00
70.93,70.93,70.8,70.9,4116.0,1392791340.0,2024-02-19 11:59:00
70.81,70.92,70.81,70.81,4391.0,1392791400.0,2024-02-19 12:00:00
70.91,70.91,70.75,70.88,5887.0,1392791460.0,2024-02-19 12:01:00
70.73,70.88,70.7,70.84,14527.0,1392791520.0,2024-02-19 12:02:00
70.75,70.75,70.61,70.7,3361.0,1392791580.0,2024-02-19 12:03:00
70.61,70.7,70.61,70.61,602.0,1392791640.0,2024-02-19 12:04:00
70.61,70.63,70.36,70.42,3800.0,1392791700.0,2024-02-19 12:05:00
70.53,70.7,70.46,70.7,1095.0,1392791760.0,2024-02-19 12:06:00
70.58,70.69,70.58,70.6,6005.0,1392791820.0,2024-02-19 12:07:00
70.6,70.8,70.6,70.75,6878.0,1392791880.0,2024-02-19 12:08:00
70.79,70.8,70.75,70.8,3522.0,1392791940.0,2024-02-19 12:09:00
70.84,70.9,70.8,70.89,4018.0,1392792000.0,2024-02-19 12:10:00
70.85,70.88,70.63,70.63,3721.0,1392792060.0,2024-02-19 12:11:00
70.79,70.79,70.51,70.57,3038.0,1392792120.0,2024-02-19 12:12:00
70.79,70.79,70.57,70.61,4478.0,1392792180.0,2024-02-19 12:13:00
70.61,70.7,70.61,70.7,775.0,1392792240.0,2024-02-19 12:14:00
70.69,70.69,70.61,70.61,2529.0,1392792300.0,2024-02-19 12:15:00
70.65,70.65,70.61,70.61,3643.0,1392792360.0,2024-02-19 12:16:00
70.62,70.62,70.52,70.52,5473.0,1392792420.0,2024-02-19 12:17:00
70.52,70.61,70.52,70.52,1743.0,1392792480.0,2024-02-19 12:18:00
70.5,70.59,70.5,70.51,3966.0,1392792540.0,2024-02-19 12:19:00
70.59,70.6,70.5,70.6,5145.0,1392792600.0,2024-02-19 12:20:00
70.59,70.59,70.5,70.5,1243.0,1392792660.0,2024-02-19 12:21:00
70.51,70.55,70.45,70.5,8399.0,1392792720.0,2024-02-19 12:22:00
70.45,70.59,70.45,70.59,858.0,1392792780.0,2024-02-19 12:23:00
70.59,70.59,70.56,70.56,941.0,1392792840.0,2024-02-19 12:24:00
70.56,70.6,70.5,70.55,2894.0,1392792900.0,2024-02-19 12:25:00
70.56,70.6,70.51,70.6,728.0,1392792960.0,2024-02-19 12:26:00
